q1,q2
Q673723,Q439957
Q655411,Q435833
Q492079,Q641990
Q064983,Q598057
Q455025,Q373367
Q084588,Q584059
Q144201,Q255386
Q495472,Q658666
Q217836,Q557306
Q474561,Q088783
Q583826,Q620812
Q550568,Q672532
Q045418,Q489959
Q265440,Q123727
Q007155,Q554782
Q648948,Q574459
Q586137,Q341656
Q131338,Q627541
Q411708,Q382134
Q344450,Q355700
Q199796,Q688426
Q693127,Q677866
Q477022,Q039894
Q541297,Q070973
Q490362,Q119115
Q504172,Q454057
Q066716,Q144428
Q607668,Q163359
Q068981,Q540251
Q115172,Q497601
Q227477,Q541242
Q390131,Q137660
Q326022,Q547897
Q486846,Q462680
Q118645,Q045201
Q019110,Q188628
Q700616,Q312378
Q301954,Q136289
Q061068,Q139436
Q615807,Q302352
Q067376,Q535253
Q161271,Q365259
Q088922,Q360992
Q705895,Q192023
Q587007,Q110404
Q724897,Q450920
Q494031,Q463539
Q457812,Q168924
Q656233,Q106351
Q578889,Q549666
Q116157,Q550613
Q085595,Q410328
Q071028,Q243207
Q113010,Q117637
Q129850,Q449748
Q024145,Q050172
Q012965,Q295906
Q298094,Q612402
Q328040,Q556132
Q586906,Q444177
Q526780,Q384497
Q167496,Q157747
Q521171,Q544879
Q457883,Q200388
Q408400,Q234689
Q451393,Q012075
Q540938,Q138764
Q535573,Q217728
Q363892,Q180183
Q118705,Q056525
Q234049,Q362118
Q120769,Q645732
Q522803,Q144749
Q668768,Q107459
Q348765,Q252659
Q276593,Q120451
Q200823,Q314693
Q518468,Q561976
Q203430,Q570999
Q209666,Q259835
Q410288,Q555108
Q548028,Q054563
Q056525,Q090096
Q492345,Q526584
Q353720,Q268255
Q444987,Q569699
Q503960,Q399393
Q252138,Q427428
Q024145,Q233984
Q640200,Q288452
Q285230,Q582402
Q456244,Q550417
Q685701,Q497740
Q553597,Q223799
Q462536,Q160677
Q249642,Q615365
Q451008,Q539341
Q245017,Q375677
Q311310,Q313398
Q141478,Q649887
Q341805,Q401830
Q459108,Q590927
Q390295,Q535573
Q479769,Q029085
Q558448,Q694277
Q519023,Q603292
Q327654,Q213060
Q247108,Q409905
Q030960,Q509780
Q135863,Q597458
Q616289,Q456673
Q082480,Q363870
Q003851,Q381420
Q366698,Q268444
Q527020,Q254902
Q554252,Q465750
Q177613,Q140236
Q175105,Q128097
Q354361,Q701680
Q663209,Q721633
Q442262,Q231880
Q296357,Q454889
Q470332,Q437288
Q685695,Q454516
Q601970,Q616666
Q091902,Q255883
Q072361,Q486146
Q143912,Q698448
Q376293,Q578987
Q694546,Q217332
Q127722,Q369932
Q520722,Q670320
Q402322,Q148426
Q161271,Q042575
Q342640,Q693127
Q583019,Q155499
Q224680,Q282675
Q653163,Q093155
Q604285,Q254015
Q189168,Q077947
Q413652,Q025893
Q159367,Q423517
Q321958,Q611860
Q381429,Q157920
Q342044,Q211394
Q340084,Q276527
Q284820,Q214588
Q434651,Q352516
Q073841,Q525089
Q146010,Q203215
Q136579,Q683186
Q711089,Q327243
Q062519,Q541837
Q138316,Q327541
Q122104,Q011552
Q677058,Q190924
Q282659,Q580705
Q548259,Q633077
Q650525,Q256301
Q668951,Q457378
Q014928,Q307612
Q011471,Q252016
Q022615,Q349689
Q211708,Q228754
Q067951,Q577190
Q260538,Q375395
Q662669,Q676106
Q488916,Q214761
Q518129,Q222144
Q662142,Q492557
Q521550,Q650255
Q628595,Q207489
Q475334,Q566855
Q297780,Q616768
Q701765,Q371452
Q502291,Q707083
Q115129,Q588224
Q603141,Q589867
Q467256,Q444976
Q332597,Q391467
Q502516,Q551877
Q324443,Q065340
Q306159,Q698997
Q175478,Q635549
Q223315,Q241229
Q557308,Q508052
Q699965,Q127457
Q626664,Q531906
Q657902,Q393005
Q629182,Q162303
Q273840,Q569535
Q406742,Q582207
Q431791,Q092815
Q444658,Q214367
Q137401,Q716427
Q517878,Q609456
Q539745,Q159150
Q436811,Q232813
Q281874,Q153729
Q618522,Q365723
Q688454,Q501132
Q337189,Q254503
Q523548,Q515223
Q178259,Q601749
Q042272,Q533118
Q657286,Q416373
Q698268,Q197890
Q122386,Q263211
Q039149,Q131332
Q225485,Q604622
Q534017,Q523703
Q597322,Q623072
Q315679,Q027569
Q495864,Q283840
Q615130,Q019127
Q266488,Q056822
Q711138,Q486102
Q253956,Q239973
Q307185,Q298598
Q161760,Q113996
Q634203,Q394436
Q191872,Q194609
Q436595,Q701256
Q282033,Q565051
Q595844,Q637372
Q494948,Q421758
Q268566,Q623157
Q060457,Q614121
Q033108,Q375606
Q244982,Q713298
Q673228,Q236427
Q482450,Q716744
Q516865,Q382866
Q376994,Q152794
Q393279,Q053752
Q640964,Q582474
Q150452,Q514153
Q478119,Q608705
Q040243,Q672738
Q635921,Q303707
Q303631,Q474224
Q300022,Q069077
Q316592,Q429362
Q109440,Q348509
Q415176,Q523120
Q482588,Q213399
Q042837,Q236832
Q040094,Q563486
Q330210,Q316444
Q049560,Q667563
Q077007,Q642524
Q668613,Q422559
Q407595,Q472228
Q303356,Q687620
Q249212,Q680944
Q164130,Q532911
Q713602,Q290656
Q396935,Q275320
Q674846,Q007395
Q389372,Q235768
Q230342,Q570629
Q705252,Q723108
Q206601,Q292722
Q632860,Q696599
Q631209,Q092815
Q467128,Q040983
Q303507,Q033264
Q214791,Q422424
Q424999,Q608602
Q410155,Q033447
Q462101,Q355700
Q005111,Q348190
Q236048,Q631855
Q012995,Q607529
Q622710,Q361706
Q024821,Q277889
Q322428,Q249386
Q536311,Q295296
Q030719,Q710676
Q606123,Q408187
Q700803,Q029085
Q220577,Q229975
Q125866,Q514632
Q136448,Q724305
Q024015,Q601688
Q555181,Q268136
Q083154,Q347656
Q350291,Q002763
Q520567,Q691808
Q554859,Q336898
Q111845,Q601678
Q674105,Q223136
Q635884,Q150509
Q649128,Q017812
Q184834,Q060159
Q605156,Q340625
Q070021,Q538000
Q583838,Q194805
Q417981,Q441981
Q277889,Q252742
Q603903,Q657797
Q155588,Q654175
Q282001,Q030046
Q322918,Q612402
Q439459,Q237704
Q353336,Q382606
Q721410,Q151038
Q615267,Q360178
Q247658,Q246036
Q383133,Q234053
Q352516,Q266637
Q161223,Q277889
Q685363,Q187613
Q646270,Q631825
Q329654,Q426112
Q118705,Q363904
Q441503,Q166461
Q107543,Q059791
Q354004,Q372312
Q311223,Q132378
Q264049,Q380756
Q453524,Q054399
Q391522,Q356616
Q452482,Q575446
Q160576,Q164800
Q294233,Q584798
Q379163,Q586281
Q319897,Q425864
Q061654,Q017371
Q099215,Q599358
Q348005,Q142849
Q418123,Q342710
Q690117,Q563537
Q235637,Q335113
Q126003,Q386291
Q509790,Q242759
Q443262,Q617255
Q683237,Q468260
Q318473,Q668833
Q513773,Q134493
Q057896,Q161760
Q105468,Q597517
Q139632,Q391353
Q693472,Q007854
Q046273,Q457812
Q360722,Q269490
Q023630,Q049292
Q468437,Q495484
Q564399,Q271269
Q669805,Q277875
Q671859,Q236273
Q602078,Q036209
Q349002,Q625099
Q180148,Q594735
Q224712,Q488673
Q236246,Q536057
Q147410,Q605299
Q653761,Q215305
Q077534,Q638588
Q290795,Q308311
Q425763,Q643248
Q529325,Q443135
Q498787,Q028635
Q633407,Q287509
Q264969,Q632943
Q196951,Q277875
Q562130,Q258393
Q379846,Q367041
Q227273,Q033284
Q253428,Q013196
Q713824,Q251242
Q389047,Q515329
Q474348,Q099824
Q511906,Q625025
Q047708,Q482539
Q570388,Q316551
Q267014,Q359599
Q215883,Q298506
Q006047,Q503069
Q228015,Q255738
Q334245,Q003731
Q068553,Q695379
Q524862,Q322148
Q239126,Q574271
Q033217,Q543673
Q607458,Q187805
Q198968,Q473530
Q317215,Q304502
Q289472,Q630779
Q312433,Q453482
Q307543,Q056525
Q231441,Q520739
Q009308,Q373367
Q618065,Q653547
Q017764,Q629135
Q176042,Q202109
Q193811,Q284008
Q116814,Q382359
Q091099,Q011907
Q013523,Q231884
Q435833,Q219056
Q571386,Q240164
Q590467,Q243081
Q723203,Q494179
Q172821,Q625087
Q500121,Q466592
Q215554,Q376644
Q534907,Q659768
Q114219,Q286155
Q324917,Q257176
Q342729,Q628177
Q647994,Q222365
Q251516,Q622593
Q008315,Q351962
Q291017,Q310571
Q256142,Q006226
Q054223,Q434560
Q545622,Q111526
Q576661,Q497332
Q058859,Q159309
Q666876,Q374587
Q691627,Q344851
Q089675,Q307101
Q256310,Q380517
Q509799,Q220190
Q672377,Q433884
Q507074,Q504887
Q241782,Q683939
Q668728,Q715035
Q179433,Q052374
Q357151,Q329596
Q440915,Q331390
Q209928,Q114474
Q628938,Q273258
Q344491,Q641249
Q140236,Q311937
Q327076,Q710641
Q155292,Q198893
Q283815,Q207650
Q587906,Q614652
Q340537,Q080992
Q680448,Q721752
Q120308,Q279788
Q707166,Q371359
Q153088,Q282184
Q268958,Q721527
Q597782,Q608413
Q225847,Q388575
Q158838,Q552154
Q289384,Q487715
Q236353,Q277436
Q478121,Q648221
Q530584,Q518896
Q335113,Q164341
Q238611,Q383649
Q618893,Q387332
Q039395,Q224294
Q579082,Q266079
Q444394,Q196648
Q673579,Q631271
Q482357,Q521895
Q516519,Q385747
Q683353,Q566402
Q322861,Q703476
Q042072,Q401606
Q109873,Q565099
Q055762,Q132340
Q103541,Q310951
Q597703,Q429919
Q488577,Q466742
Q658908,Q288452
Q231436,Q093313
Q549605,Q128748
Q425662,Q350037
Q056963,Q196405
Q494399,Q409905
Q462537,Q640229
Q423386,Q254170
Q253497,Q161515
Q082011,Q698001
Q497342,Q219407
Q656197,Q014148
Q445508,Q200024
Q029484,Q163174
Q575508,Q628444
Q431791,Q332991
Q514386,Q665607
Q559130,Q137889
Q566335,Q000621
Q503386,Q070570
Q127796,Q125583
Q556729,Q301644
Q646903,Q468789
Q620877,Q720286
Q491545,Q327357
Q578160,Q656585
Q412339,Q028946
Q535527,Q721779
Q069765,Q329441
Q029234,Q660516
Q549605,Q653366
Q445996,Q161763
Q404618,Q602004
Q419935,Q630045
Q570408,Q193882
Q123332,Q593126
Q485464,Q360887
Q172740,Q706165
Q473286,Q319897
Q357904,Q176504
Q026478,Q595401
Q708147,Q004094
Q145988,Q528308
Q428478,Q593388
Q515790,Q153952
Q299419,Q628139
Q138476,Q575355
Q269630,Q218955
Q041525,Q646562
Q241261,Q106622
Q043962,Q484046
Q066226,Q030903
Q284820,Q141843
Q606866,Q721063
Q500708,Q652837
Q233879,Q004356
Q498518,Q406596
Q179216,Q140296
Q131613,Q034852
Q125090,Q050233
Q592583,Q525089
Q145450,Q576842
Q532929,Q536863
Q434651,Q679650
Q470720,Q641225
Q558472,Q413490
Q334461,Q659659
Q263077,Q407748
Q388459,Q579253
Q465504,Q320466
Q028458,Q621502
Q380745,Q245121
Q361908,Q316918
Q521757,Q227092
Q388398,Q235637
Q481539,Q268259
Q189249,Q034980
Q430202,Q334152
Q268751,Q537435
Q664673,Q095818
Q409541,Q018757
Q060839,Q212566
Q154604,Q584771
Q411075,Q214588
Q575564,Q333559
Q728114,Q521690
Q157211,Q460657
Q609581,Q292415
Q348765,Q532247
Q538843,Q149002
Q017851,Q265069
Q572832,Q067951
Q306572,Q725873
Q191902,Q641351
Q189714,Q366061
Q353341,Q237314
Q147410,Q616666
Q700666,Q460603
Q519882,Q424169
Q534666,Q432198
Q164029,Q444658
Q625278,Q362047
Q014333,Q375886
Q579460,Q230197
Q616951,Q408426
Q586029,Q656053
Q097865,Q539886
Q296993,Q167598
Q248204,Q461236
Q168651,Q431791
Q191456,Q705835
Q322462,Q393823
Q236112,Q054563
Q269385,Q606856
Q245290,Q671999
Q677165,Q356488
Q594692,Q657024
Q142827,Q142855
Q232333,Q553474
Q236930,Q497943
Q648488,Q456624
Q268220,Q406970
Q105461,Q682304
Q592676,Q164153
Q434780,Q621805
Q517848,Q330085
Q634023,Q020892
Q698996,Q018405
Q561843,Q324779
Q260571,Q256044
Q006937,Q166747
Q041953,Q568236
Q012104,Q420221
Q405490,Q322405
Q404282,Q025946
Q533671,Q005396
Q082719,Q709334
Q570521,Q491509
Q156900,Q458822
Q344003,Q186881
Q311288,Q617690
Q266137,Q535244
Q363505,Q288579
Q554108,Q503215
Q494138,Q336184
Q678116,Q190451
Q363153,Q110192
Q519023,Q161938
Q116129,Q138292
Q684584,Q612051
Q036890,Q188076
Q636090,Q587429
Q612369,Q597353
Q255287,Q668664
Q015769,Q031230
Q281798,Q410230
Q475751,Q282213
Q698268,Q324914
Q103631,Q489218
Q462215,Q526584
Q017764,Q236427
Q559773,Q718693
Q367786,Q178677
Q469287,Q051955
Q724269,Q619300
Q676352,Q713454
Q001518,Q375924
Q604819,Q459787
Q393839,Q105903
Q239919,Q067766
Q466552,Q219030
Q538843,Q444770
Q248204,Q710846
Q141611,Q449048
Q705953,Q589269
Q193343,Q403216
Q042122,Q080586
Q396688,Q285855
Q209666,Q544109
Q263824,Q111613
Q014301,Q184232
Q613980,Q711053
Q551828,Q159343
Q283811,Q498588
Q406448,Q110887
Q054899,Q128240
Q291502,Q396533
Q118535,Q567885
Q544989,Q717780
Q191630,Q488309
Q002836,Q431293
Q699173,Q305531
Q042816,Q600690
Q262052,Q243192
Q482737,Q638704
Q677500,Q724250
Q381734,Q234734
Q284119,Q611774
Q030737,Q128982
Q320473,Q274053
Q196441,Q166358
Q353992,Q240164
Q564520,Q461460
Q670084,Q702501
Q477352,Q554642
Q202103,Q676697
Q236307,Q526628
Q388432,Q717585
Q604217,Q506258
Q128994,Q398979
Q562874,Q652814
Q595561,Q202109
Q523950,Q428289
Q530584,Q201282
Q708147,Q713835
Q204658,Q123401
Q053813,Q398347
Q719464,Q712593
Q474561,Q354023
Q502868,Q410979
Q324857,Q249471
Q257379,Q698560
Q455087,Q360604
Q109428,Q114358
Q436359,Q085589
Q465233,Q474005
Q629030,Q070342
Q484834,Q218941
Q365032,Q254814
Q168906,Q454328
Q601970,Q369831
Q327811,Q491383
Q514869,Q391297
Q219252,Q449048
Q650051,Q587873
Q604182,Q717516
Q223843,Q351729
Q323123,Q301513
Q356434,Q519372
Q564520,Q375075
Q100233,Q106260
Q692449,Q059887
Q619437,Q388999
Q472228,Q000866
Q215369,Q049878
Q292572,Q671087
Q305446,Q643300
Q170153,Q112896
Q334461,Q162992
Q587939,Q641249
Q257361,Q082902
Q461174,Q474890
Q017532,Q044294
Q538280,Q076666
Q574433,Q196951
Q039161,Q417949
Q024857,Q176042
Q224338,Q087726
Q258453,Q546163
Q351193,Q362880
Q151335,Q195902
Q086532,Q344405
Q277860,Q154226
Q127625,Q632205
Q702663,Q297439
Q387786,Q614609
Q122104,Q235556
Q373619,Q211188
Q723914,Q376862
Q340537,Q452641
Q091414,Q322236
Q205636,Q231410
Q014618,Q202176
Q104256,Q553365
Q291054,Q257623
Q024734,Q566592
Q149786,Q389019
Q069462,Q306383
Q659528,Q554077
Q655314,Q627328
Q003311,Q365461
Q094994,Q404497
Q434472,Q643952
Q684846,Q459344
Q690453,Q383157
Q497465,Q532307
Q338869,Q068728
Q654285,Q460638
Q014301,Q181432
Q201572,Q398810
Q394278,Q322200
Q608967,Q418431
Q409031,Q560776
Q588377,Q505559
Q438671,Q687381
Q380734,Q596126
Q080993,Q039894
Q083769,Q219056
Q123973,Q394362
Q607555,Q386170
Q064468,Q172561
Q206502,Q176784
Q310027,Q693063
Q266137,Q082532
Q663870,Q449095
Q470170,Q632723
Q689225,Q052033
Q578541,Q637666
Q200823,Q372080
Q048586,Q040701
Q292651,Q607479
Q442353,Q236096
Q181616,Q070312
Q314446,Q315973
Q054261,Q627641
Q164130,Q493264
Q053756,Q429915
Q254394,Q338333
Q686318,Q192835
Q411541,Q056948
Q155850,Q478671
Q136703,Q058621
Q124471,Q458543
Q690382,Q098151
Q159439,Q599422
Q621027,Q039105
Q498454,Q161919
Q059219,Q020178
Q205373,Q256084
Q526579,Q501875
Q026132,Q260959
Q221995,Q486186
Q230698,Q440335
Q701473,Q601300
Q326315,Q109013
Q321476,Q022827
Q632555,Q541130
Q638583,Q390884
Q361575,Q028874
Q370942,Q094641
Q331604,Q483750
Q258748,Q721758
Q105061,Q136538
Q366377,Q321367
Q290197,Q457812
Q540764,Q201516
Q569677,Q613532
Q429901,Q101453
Q055662,Q381299
Q636591,Q057047
Q265063,Q401545
Q633796,Q355248
Q661537,Q113754
Q386560,Q123727
Q439351,Q113556
Q433253,Q502352
Q348963,Q165592
Q651096,Q628139
Q611882,Q040243
Q431432,Q690553
Q715703,Q214329
Q233942,Q611091
Q644309,Q087447
Q371610,Q507619
Q720286,Q534762
Q517097,Q459718
Q388575,Q381543
Q241314,Q022293
Q061769,Q279984
Q358671,Q366944
Q418099,Q057422
Q464598,Q266293
Q655425,Q174085
Q203286,Q693815
Q499868,Q647032
Q091578,Q512457
Q050035,Q720031
Q192426,Q197470
Q137509,Q408134
Q541994,Q439122
Q700094,Q213784
Q175874,Q039373
Q711053,Q616082
Q498787,Q702210
Q532316,Q656955
Q618064,Q686338
Q349052,Q017004
Q617233,Q686249
Q678116,Q368990
Q469574,Q562867
Q213332,Q392438
Q699524,Q520438
Q070956,Q501249
Q664130,Q663256
Q113801,Q465904
Q150486,Q554176
Q259009,Q452334
Q191215,Q710432
Q179617,Q283436
Q487523,Q572849
Q654562,Q321256
Q462796,Q549521
Q306143,Q722050
Q310124,Q340883
Q599998,Q464211
Q349689,Q557321
Q661713,Q163316
Q400994,Q458543
Q684051,Q173612
Q258728,Q203758
Q029484,Q491429
Q524519,Q082172
Q267014,Q197110
Q536873,Q412343
Q255673,Q044294
Q597269,Q637524
Q033284,Q408706
Q410744,Q031456
Q490231,Q034041
Q653059,Q537006
Q284478,Q724862
Q268002,Q497224
Q359728,Q659439
Q215369,Q521705
Q690101,Q232328
Q319505,Q618881
Q183811,Q695162
Q171876,Q284520
Q348765,Q225959
Q510350,Q071399
Q399360,Q699570
Q110115,Q118907
Q478525,Q097311
Q603238,Q727058
Q293203,Q473094
Q211968,Q317229
Q506527,Q488497
Q607534,Q546854
Q529300,Q360167
Q084247,Q022827
Q271103,Q582384
Q220851,Q095646
Q310864,Q581087
Q467183,Q307543
Q310393,Q715897
Q285455,Q145776
Q068402,Q160654
Q538918,Q029622
Q529609,Q345143
Q576222,Q618522
Q119042,Q335113
Q728241,Q189352
Q568595,Q656257
Q358379,Q348013
Q283750,Q610374
Q335899,Q670619
Q016161,Q555938
Q466183,Q634499
Q568230,Q087448
Q037995,Q144884
Q553985,Q597959
Q376862,Q123332
Q405162,Q640255
Q003831,Q226623
Q037827,Q279078
Q432467,Q378584
Q439987,Q324076
Q632344,Q709774
Q267735,Q585844
Q394937,Q592759
Q009047,Q105856
Q452536,Q276613
Q027691,Q127382
Q093134,Q124421
Q002150,Q238050
Q381390,Q051685
Q213784,Q487706
Q612747,Q136007
Q564899,Q502161
Q591425,Q475439
Q365617,Q605078
Q606359,Q321106
Q148760,Q171996
Q385275,Q549447
Q627007,Q074460
Q614299,Q611386
Q369272,Q056146
Q513070,Q470333
Q252922,Q153871
Q131256,Q334306
Q597218,Q114671
Q182227,Q280773
Q205557,Q469574
Q045786,Q601661
Q228866,Q192835
Q699996,Q580198
Q269479,Q285855
Q268837,Q123263
Q502439,Q488916
Q312479,Q511956
Q157195,Q313150
Q257361,Q155708
Q292746,Q421339
Q155259,Q727066
Q098469,Q131349
Q647099,Q213060
Q726983,Q713810
Q481539,Q177876
Q664292,Q089016
Q534878,Q040094
Q174112,Q474629
Q395573,Q625513
Q334152,Q109428
Q353992,Q657113
Q131177,Q310210
Q700616,Q216038
Q482362,Q614775
Q631209,Q372867
Q401484,Q031230
Q525180,Q609818
Q590544,Q405861
Q661713,Q486102
Q044245,Q373510
Q127815,Q302077
Q077082,Q578638
Q494707,Q611695
Q714002,Q505619
Q398568,Q243351
Q316403,Q499274
Q718615,Q642920
Q176078,Q319894
Q697089,Q138316
Q482416,Q061580
Q516157,Q583210
Q308891,Q464785
Q017371,Q672213
Q284820,Q601513
Q199341,Q574003
Q214533,Q218338
Q319302,Q476522
Q254794,Q653541
Q331539,Q593388
Q629185,Q481701
Q098290,Q319301
Q332795,Q425937
Q185274,Q605156
Q613034,Q106291
Q085101,Q380745
Q264754,Q192161
Q351949,Q350424
Q327310,Q276234
Q080992,Q519390
Q337890,Q563486
Q255610,Q532247
Q311249,Q196240
Q666876,Q457945
Q423163,Q565426
Q254598,Q406354
Q392742,Q327357
Q100887,Q689282
Q715881,Q558945
Q255555,Q707083
Q432438,Q106867
Q681258,Q225311
Q235782,Q516135
Q306055,Q373605
Q598276,Q381271
Q301218,Q227772
Q140994,Q085340
Q712244,Q128279
Q146950,Q494138
Q313628,Q720531
Q524978,Q687843
Q240241,Q307290
Q515945,Q341801
Q343824,Q255937
Q052728,Q526868
Q444633,Q043075
Q660978,Q598019
Q051947,Q417192
Q132564,Q114043
Q260589,Q273064
Q028986,Q624894
Q373510,Q641256
Q066217,Q145776
Q636457,Q600486
Q652507,Q455430
Q036214,Q052258
Q318243,Q347256
Q212336,Q364005
Q245290,Q431028
Q346829,Q428392
Q002738,Q359010
Q490362,Q307429
Q710205,Q550245
Q238408,Q059652
Q715989,Q553796
Q233534,Q356420
Q387786,Q171960
Q289633,Q400986
Q349052,Q222235
Q366122,Q627541
Q129380,Q075649
Q262315,Q022443
Q078989,Q555938
Q192161,Q522249
Q723887,Q128838
Q307041,Q522249
Q100363,Q471447
Q199105,Q568616
Q095969,Q484478
Q420092,Q210859
Q622243,Q307612
Q214310,Q660693
Q210500,Q585182
Q683091,Q009217
Q604100,Q011576
Q484506,Q667563
Q297869,Q454206
Q136097,Q216855
Q289119,Q176504
Q120451,Q161808
Q546070,Q094586
Q523881,Q285855
Q361926,Q621998
Q553163,Q563617
Q203161,Q353425
Q553367,Q464289
Q486186,Q274286
Q504613,Q490849
Q052854,Q590049
Q319903,Q632361
Q516164,Q565299
Q431626,Q362090
Q691602,Q304063
Q307414,Q460192
Q278455,Q683595
Q577298,Q631589
Q727024,Q178746
Q302589,Q594692
Q539454,Q459163
Q028986,Q157211
Q526628,Q698070
Q674843,Q653012
Q409394,Q599790
Q679474,Q451393
Q653560,Q358304
Q444658,Q404042
Q402717,Q202989
Q513740,Q100673
Q417565,Q328057
Q721392,Q108726
Q580206,Q353442
Q395401,Q371609
Q671671,Q678444
Q401587,Q268900
Q678164,Q364773
Q660925,Q405662
Q494803,Q255970
Q538676,Q409976
Q193011,Q407595
Q360122,Q516692
Q503300,Q431283
Q396485,Q526703
Q144197,Q640412
Q313150,Q242447
Q664487,Q454889
Q512390,Q303862
Q475330,Q051685
Q053887,Q670173
Q526743,Q019989
Q179324,Q138656
Q063570,Q282393
Q063460,Q093437
Q563755,Q263905
Q340709,Q571334
Q000207,Q063918
Q056574,Q303858
Q499216,Q397345
Q036058,Q710149
Q413255,Q265514
Q421188,Q485992
Q589826,Q539312
Q547138,Q479119
Q288883,Q051135
Q270217,Q299419
Q550321,Q726004
Q019396,Q188103
Q638177,Q243775
Q251403,Q627713
Q185442,Q376293
Q686930,Q165375
Q232659,Q491429
Q469389,Q082719
Q609412,Q159150
Q288874,Q340708
Q210747,Q546201
Q114506,Q440507
Q681560,Q265134
Q709464,Q563537
Q368249,Q416859
Q673341,Q307406
Q397713,Q101590
Q598336,Q250128
Q003698,Q012102
Q369676,Q612051
Q598276,Q308821
Q048586,Q550802
Q602004,Q388631
Q502748,Q697907
Q693472,Q494560
Q232247,Q187668
Q431432,Q409419
Q321436,Q386607
Q135379,Q009929
Q105734,Q246358
Q326315,Q699173
Q356616,Q059861
Q056075,Q245256
Q512384,Q418378
Q265457,Q600123
Q388701,Q474173
Q115426,Q424916
Q152336,Q170800
Q443818,Q561756
Q348891,Q518161
Q544238,Q111606
Q289455,Q229989
Q591303,Q163174
Q236318,Q157863
Q616332,Q223245
Q426271,Q397281
Q137256,Q491969
Q077490,Q340302
Q577298,Q573953
Q492218,Q502223
Q489714,Q034139
Q076313,Q052699
Q653299,Q276377
Q123675,Q401607
Q480998,Q158307
Q492724,Q148174
Q336710,Q025869
Q069257,Q657563
Q681885,Q152988
Q533118,Q315446
Q495784,Q674334
Q615267,Q656257
Q370339,Q655199
Q560241,Q406251
Q709464,Q236663
Q119042,Q387786
Q141143,Q483871
Q451393,Q301243
Q254394,Q497116
Q130059,Q552474
Q672738,Q478705
Q424218,Q718237
Q563088,Q522453
Q182977,Q456022
Q187200,Q359488
Q619033,Q534359
Q553390,Q153629
Q343085,Q658952
Q698525,Q298352
Q481285,Q569789
Q660801,Q340559
Q503911,Q451972
Q630115,Q701798
Q202251,Q313646
Q002142,Q645776
Q214236,Q685058
Q058650,Q439613
Q673530,Q597493
Q556979,Q411095
Q385318,Q643535
Q292651,Q363561
Q120955,Q218655
Q594457,Q467351
Q106125,Q592654
Q099561,Q158612
Q576033,Q484904
Q417884,Q015873
Q274312,Q638759
Q403321,Q163316
Q522999,Q515402
Q498163,Q079255
Q104693,Q221608
Q110404,Q640200
Q273842,Q076902
Q225938,Q015520
Q617067,Q628252
Q305237,Q230040
Q270684,Q027539
Q265906,Q629767
Q111543,Q168316
Q593383,Q001652
Q108166,Q660956
Q517184,Q701424
Q539306,Q683918
Q026596,Q352128
Q186584,Q420036
Q379347,Q398670
Q332868,Q366122
Q318649,Q517853
Q635089,Q209666
Q181481,Q569679
Q086137,Q240112
Q625159,Q543420
Q592111,Q322984
Q130163,Q259801
Q576408,Q477624
Q331063,Q045846
Q309183,Q666203
Q686544,Q382078
Q195109,Q572923
Q409784,Q323227
Q659979,Q406261
Q267334,Q476054
Q716785,Q711802
Q354605,Q358386
Q119241,Q078244
Q613550,Q440465
Q163280,Q187083
Q381948,Q028874
Q531216,Q132152
Q470955,Q639505
