label,q1,q2
1,Q529423,Q320672
1,Q162320,Q263180
1,Q007395,Q606353
1,Q031216,Q449508
1,Q424690,Q427262
1,Q257176,Q017767
1,Q587821,Q619363
1,Q037800,Q578160
1,Q019127,Q611338
1,Q563617,Q372386
1,Q521607,Q204036
1,Q608561,Q354504
1,Q127163,Q711179
1,Q107715,Q588403
1,Q643372,Q303417
1,Q070124,Q559739
1,Q435833,Q669193
1,Q384138,Q636674
1,Q212764,Q611710
1,Q478511,Q306323
1,Q621899,Q336928
1,Q502119,Q546319
1,Q722983,Q066508
1,Q241603,Q532307
1,Q193882,Q467250
1,Q128795,Q348862
1,Q469759,Q044949
1,Q194791,Q069715
1,Q376423,Q250193
1,Q037941,Q501305
1,Q551881,Q725253
1,Q640229,Q487816
1,Q702663,Q200024
1,Q494418,Q495472
1,Q277629,Q582903
1,Q064059,Q529038
1,Q438353,Q014237
1,Q595401,Q381543
1,Q686167,Q016660
1,Q520375,Q488577
1,Q482014,Q715180
1,Q075813,Q633091
1,Q350230,Q580970
1,Q581125,Q345528
1,Q324316,Q080992
1,Q518815,Q148945
1,Q461306,Q632205
1,Q242215,Q525089
1,Q208115,Q051705
1,Q035503,Q405292
1,Q518091,Q636886
1,Q653463,Q341783
1,Q013912,Q424638
1,Q536415,Q127449
1,Q501704,Q181063
1,Q070312,Q297869
1,Q114682,Q488037
1,Q098160,Q488230
1,Q727878,Q459787
1,Q286652,Q110628
1,Q551423,Q677190
1,Q436579,Q536820
1,Q109754,Q494517
1,Q418100,Q417347
1,Q657878,Q282763
1,Q509742,Q586029
1,Q354850,Q678035
1,Q209532,Q080831
1,Q199446,Q040733
1,Q360926,Q208060
1,Q419894,Q166609
1,Q513070,Q388132
1,Q271258,Q463368
1,Q455044,Q522803
1,Q380993,Q077949
1,Q358229,Q245586
1,Q671234,Q310581
1,Q047213,Q652180
1,Q349388,Q157480
1,Q288041,Q549192
1,Q004714,Q667741
1,Q216000,Q192467
1,Q665740,Q001568
1,Q529325,Q500291
1,Q326022,Q101805
1,Q158838,Q655462
1,Q620122,Q641485
1,Q639967,Q153729
1,Q715703,Q595401
1,Q532411,Q287991
1,Q508321,Q116513
1,Q343928,Q706206
1,Q350485,Q526780
1,Q486384,Q586439
1,Q448694,Q384146
1,Q429930,Q717937
1,Q269630,Q524474
1,Q252804,Q319302
1,Q341656,Q002989
1,Q095171,Q057130
1,Q458250,Q391522
1,Q155062,Q374255
1,Q439096,Q085589
1,Q716785,Q165577
1,Q562867,Q380311
1,Q528681,Q073841
1,Q301243,Q315231
1,Q680210,Q594549
1,Q576754,Q246358
1,Q695220,Q500763
1,Q122045,Q015374
1,Q577115,Q571386
1,Q451912,Q178988
1,Q204399,Q191872
1,Q211188,Q092597
1,Q685701,Q438184
1,Q522738,Q330659
1,Q421812,Q480226
1,Q294708,Q153871
1,Q723203,Q137256
1,Q692491,Q369970
1,Q579082,Q534017
1,Q302424,Q032964
1,Q012102,Q371990
1,Q466970,Q208115
1,Q588336,Q014237
1,Q445996,Q374499
1,Q346122,Q494517
1,Q639346,Q125503
1,Q531216,Q512436
1,Q449816,Q331975
1,Q489966,Q502391
1,Q326972,Q147336
1,Q318996,Q508423
1,Q238669,Q371502
1,Q711865,Q535732
1,Q588458,Q508288
1,Q608454,Q387153
1,Q166358,Q062054
1,Q002423,Q675468
1,Q081794,Q049001
1,Q399096,Q607479
1,Q561976,Q132724
1,Q082011,Q014710
1,Q299700,Q132067
1,Q007395,Q468120
1,Q110405,Q241229
1,Q236427,Q200910
1,Q087347,Q337890
1,Q002221,Q144965
1,Q363153,Q524558
1,Q645635,Q440480
1,Q408003,Q485810
1,Q498012,Q192969
1,Q160215,Q093970
1,Q008882,Q442215
1,Q460472,Q248784
1,Q652797,Q072829
1,Q695162,Q602222
1,Q714501,Q246374
1,Q365407,Q300397
1,Q454768,Q200024
1,Q482460,Q249279
1,Q619504,Q086168
1,Q271915,Q073298
1,Q478115,Q489400
1,Q487847,Q379077
1,Q458543,Q455345
1,Q322846,Q675249
1,Q434472,Q243030
1,Q182555,Q581056
1,Q218655,Q665518
1,Q196590,Q390894
1,Q083475,Q303438
1,Q455087,Q475388
1,Q353992,Q377653
1,Q417138,Q350919
1,Q553781,Q661088
1,Q364967,Q652797
1,Q152922,Q218818
1,Q565180,Q566402
1,Q726258,Q432438
1,Q161455,Q309935
1,Q401545,Q522287
1,Q390548,Q100321
1,Q525164,Q549148
1,Q314986,Q612711
1,Q402225,Q319869
1,Q398295,Q280416
1,Q217913,Q201808
1,Q549875,Q211483
1,Q470475,Q717563
1,Q565703,Q693905
1,Q115090,Q130931
1,Q618764,Q587309
1,Q042189,Q302152
1,Q580970,Q655349
1,Q535732,Q211708
1,Q647994,Q334461
1,Q668728,Q247389
1,Q333216,Q652760
1,Q236416,Q082011
1,Q572006,Q707879
1,Q529005,Q612421
1,Q215449,Q499701
1,Q168906,Q591563
1,Q668538,Q625278
1,Q485830,Q467370
1,Q654562,Q436081
1,Q530870,Q118645
1,Q680777,Q117884
1,Q700522,Q208402
1,Q416335,Q592559
1,Q669736,Q469923
1,Q657113,Q691617
1,Q126955,Q580277
1,Q055304,Q473774
1,Q655735,Q371060
1,Q219323,Q158438
1,Q420200,Q469496
1,Q087472,Q497668
1,Q020994,Q082011
1,Q717105,Q344450
1,Q544989,Q365061
1,Q426632,Q526780
1,Q448442,Q436081
1,Q208004,Q188996
1,Q665740,Q530330
1,Q493066,Q448397
1,Q073978,Q516624
1,Q472921,Q181113
1,Q695765,Q637718
1,Q251206,Q371226
1,Q548494,Q110405
1,Q495784,Q567601
1,Q127625,Q296170
1,Q655100,Q090249
1,Q055054,Q636076
1,Q104969,Q618119
1,Q071886,Q563374
1,Q075159,Q442152
1,Q366472,Q271156
1,Q080459,Q307612
1,Q336925,Q434657
1,Q510686,Q168755
1,Q586439,Q172821
1,Q013722,Q488479
1,Q387765,Q262576
1,Q444633,Q052976
1,Q450711,Q155499
1,Q493838,Q332795
1,Q170700,Q080379
1,Q692125,Q652309
1,Q265063,Q247792
1,Q338260,Q024547
1,Q326253,Q394703
1,Q645151,Q702115
1,Q532411,Q057047
1,Q276975,Q394278
1,Q247658,Q066879
1,Q444476,Q060519
1,Q592622,Q659528
1,Q024015,Q037752
1,Q208060,Q509884
1,Q683363,Q485633
1,Q247100,Q444987
1,Q317876,Q033312
1,Q114043,Q176853
1,Q049292,Q292415
1,Q078846,Q283506
1,Q395551,Q606474
1,Q209666,Q613532
1,Q016691,Q416534
1,Q610535,Q339303
1,Q164864,Q077947
1,Q350241,Q220876
1,Q064983,Q189688
1,Q053001,Q316551
1,Q679948,Q171386
1,Q228754,Q255970
1,Q247321,Q201808
1,Q556139,Q696225
1,Q695067,Q225617
1,Q336738,Q036980
1,Q042602,Q558234
1,Q482314,Q239306
1,Q210037,Q333226
1,Q434560,Q029888
1,Q643637,Q046986
1,Q639967,Q136654
1,Q204399,Q430744
1,Q440929,Q317233
1,Q616666,Q372030
1,Q321585,Q647099
1,Q021022,Q256044
1,Q301230,Q521171
1,Q604213,Q594626
1,Q205928,Q478875
1,Q180669,Q491101
1,Q379605,Q667563
1,Q562867,Q485017
1,Q112509,Q339303
1,Q639479,Q380588
1,Q483750,Q343824
1,Q228418,Q651878
1,Q544879,Q047213
1,Q532411,Q061772
1,Q323867,Q363167
1,Q559914,Q620238
1,Q474679,Q621929
1,Q647527,Q721497
1,Q727932,Q541836
1,Q224814,Q269594
1,Q158721,Q126246
1,Q505873,Q446760
1,Q646250,Q036214
1,Q350241,Q507652
1,Q088783,Q436069
1,Q024943,Q083509
1,Q336928,Q692708
1,Q708147,Q390375
1,Q120830,Q525982
1,Q628691,Q497105
1,Q616306,Q552813
1,Q593597,Q228131
1,Q170964,Q138316
1,Q027411,Q066948
1,Q298858,Q406179
1,Q380040,Q350241
1,Q084642,Q405801
1,Q665740,Q225870
1,Q659963,Q320491
1,Q336196,Q375677
1,Q182499,Q522330
1,Q485633,Q032861
1,Q655939,Q173464
1,Q070658,Q206051
1,Q373248,Q163719
1,Q437681,Q127010
1,Q554173,Q043075
1,Q466742,Q526579
1,Q094447,Q089841
1,Q094635,Q072829
1,Q560706,Q016691
1,Q023948,Q212145
1,Q608394,Q296516
1,Q169888,Q604800
1,Q715144,Q687547
1,Q098480,Q407482
1,Q328459,Q455619
1,Q664287,Q028489
1,Q125248,Q454858
1,Q362239,Q057092
1,Q544934,Q062779
1,Q144617,Q465120
1,Q002989,Q229583
1,Q136663,Q619589
1,Q022193,Q527798
1,Q351263,Q315105
1,Q460472,Q084738
1,Q515117,Q540938
1,Q169132,Q299397
1,Q024860,Q617904
1,Q425279,Q120806
1,Q354605,Q323081
1,Q097337,Q522453
1,Q296575,Q700138
1,Q149996,Q312672
1,Q482264,Q312743
1,Q131268,Q530764
1,Q062025,Q160505
1,Q710777,Q686372
1,Q465388,Q713649
1,Q641225,Q398347
1,Q461612,Q270248
1,Q286983,Q195377
1,Q001789,Q408706
1,Q071252,Q424638
1,Q387799,Q496047
1,Q030960,Q325462
1,Q251061,Q726123
1,Q279877,Q503834
1,Q561695,Q299546
1,Q354605,Q427236
1,Q587429,Q124494
1,Q247405,Q398810
1,Q025257,Q047652
1,Q468874,Q228290
1,Q049193,Q445606
1,Q353607,Q651096
1,Q467705,Q205928
1,Q701680,Q191456
1,Q322510,Q532138
1,Q017636,Q325926
1,Q344419,Q371502
1,Q686238,Q328052
1,Q438008,Q381965
1,Q542671,Q267334
1,Q127227,Q502161
1,Q101898,Q297948
1,Q382346,Q162485
1,Q466495,Q664552
1,Q049956,Q159156
1,Q257479,Q538466
1,Q606474,Q429252
1,Q174693,Q190346
1,Q603903,Q176966
1,Q287123,Q006394
1,Q489328,Q342044
1,Q586906,Q337064
1,Q582178,Q609818
1,Q336995,Q030975
1,Q315482,Q310864
1,Q590158,Q493240
1,Q662604,Q420301
1,Q151560,Q543420
1,Q696371,Q508952
1,Q427904,Q673228
1,Q014381,Q014710
1,Q652053,Q616999
1,Q155165,Q050155
1,Q075053,Q636076
1,Q582170,Q466584
1,Q028487,Q372837
1,Q332093,Q033312
1,Q488309,Q708851
1,Q222096,Q033517
1,Q371919,Q476404
1,Q284155,Q624931
1,Q546024,Q326315
1,Q026596,Q149720
1,Q164341,Q307594
1,Q064059,Q501704
1,Q031216,Q173396
1,Q677944,Q571386
1,Q174085,Q176966
1,Q331539,Q390131
1,Q444770,Q353992
1,Q533053,Q305642
1,Q308139,Q473095
1,Q523728,Q283845
1,Q147632,Q366457
1,Q653163,Q723726
1,Q645151,Q362053
1,Q281462,Q211751
1,Q596594,Q501120
1,Q395605,Q670173
1,Q552813,Q515223
1,Q463148,Q711179
1,Q613598,Q472030
1,Q529300,Q285396
1,Q216211,Q522803
1,Q548808,Q082365
1,Q537503,Q424638
1,Q334329,Q127976
1,Q209042,Q171891
1,Q580078,Q555376
1,Q246560,Q520375
1,Q426402,Q386170
1,Q115213,Q662604
1,Q312984,Q665648
1,Q150241,Q391951
1,Q727878,Q015704
1,Q723900,Q722983
1,Q113754,Q190346
1,Q180669,Q163070
1,Q429518,Q115090
1,Q324076,Q245381
1,Q139612,Q397675
1,Q466742,Q016390
1,Q650190,Q162964
1,Q477869,Q066137
1,Q485577,Q392339
1,Q330000,Q282675
1,Q127470,Q164492
1,Q144884,Q077477
1,Q081677,Q057047
1,Q592622,Q707691
1,Q700334,Q156759
1,Q657608,Q719793
1,Q654175,Q647101
1,Q201567,Q008882
1,Q383266,Q247389
1,Q136158,Q650130
1,Q528281,Q012037
1,Q600740,Q342847
1,Q611386,Q289207
1,Q657767,Q173842
1,Q352956,Q444633
1,Q265063,Q522469
1,Q558536,Q240693
1,Q728403,Q343082
1,Q125890,Q268765
1,Q128982,Q035928
1,Q059919,Q616016
1,Q484046,Q506563
1,Q475251,Q272616
1,Q539955,Q378230
1,Q377415,Q124141
1,Q180060,Q703377
1,Q229538,Q456337
1,Q458543,Q583239
1,Q089422,Q175105
1,Q405801,Q036407
1,Q678823,Q558536
1,Q033517,Q315482
1,Q304088,Q628139
1,Q175702,Q628830
1,Q388908,Q522879
1,Q297948,Q002423
1,Q187234,Q169568
1,Q531575,Q382228
1,Q455299,Q226621
1,Q200024,Q695176
1,Q131075,Q305794
1,Q015924,Q719212
1,Q112644,Q209463
1,Q725012,Q355248
1,Q439159,Q323413
1,Q459448,Q540938
1,Q566721,Q652309
1,Q045967,Q626485
1,Q701527,Q036706
1,Q384470,Q326092
1,Q432438,Q493264
1,Q154338,Q247025
1,Q360562,Q318822
1,Q276621,Q499922
1,Q629185,Q547513
1,Q265719,Q041248
1,Q017812,Q328052
1,Q262576,Q676704
1,Q553163,Q719356
1,Q292572,Q039081
1,Q009736,Q327243
1,Q072767,Q510104
1,Q618983,Q492345
1,Q606351,Q251483
1,Q073978,Q626710
1,Q065441,Q043075
1,Q579909,Q225276
1,Q168651,Q475330
1,Q607458,Q059153
1,Q723108,Q683320
1,Q541779,Q432343
1,Q138637,Q525982
1,Q560861,Q016099
1,Q119645,Q227075
1,Q384487,Q315973
1,Q397047,Q297357
1,Q238956,Q327357
1,Q563027,Q272684
1,Q529152,Q296852
1,Q405292,Q498851
1,Q685931,Q368866
1,Q029458,Q436579
1,Q687325,Q390139
1,Q409624,Q613907
1,Q657388,Q395696
1,Q035389,Q472760
1,Q491607,Q344984
1,Q715035,Q091969
1,Q005396,Q392256
1,Q023073,Q457647
1,Q321890,Q019194
1,Q541951,Q285783
1,Q240344,Q412663
1,Q692231,Q321771
1,Q234615,Q295102
1,Q427690,Q672566
1,Q089587,Q397084
1,Q676002,Q139360
1,Q245017,Q680448
1,Q029484,Q699173
1,Q473094,Q169196
1,Q009588,Q649887
1,Q340708,Q484147
1,Q634971,Q347887
1,Q447634,Q421623
1,Q678280,Q211483
1,Q705674,Q189885
1,Q579947,Q585513
1,Q605300,Q173460
1,Q664552,Q569797
1,Q135928,Q505409
1,Q583678,Q106621
1,Q208649,Q340317
1,Q012965,Q480408
1,Q316265,Q325067
1,Q181132,Q623568
1,Q714446,Q037544
1,Q443818,Q035376
1,Q570408,Q146855
1,Q618999,Q528993
1,Q529701,Q535065
1,Q387323,Q683613
1,Q255111,Q643803
1,Q716651,Q291797
1,Q324910,Q421020
1,Q212658,Q176109
1,Q381663,Q529152
1,Q322425,Q521796
1,Q265983,Q499844
1,Q149381,Q576358
1,Q576200,Q023630
1,Q640229,Q100089
1,Q296098,Q550490
1,Q133646,Q578720
1,Q462253,Q454858
1,Q619278,Q559739
1,Q036391,Q408400
1,Q301515,Q005608
1,Q661088,Q403087
1,Q285656,Q518208
1,Q188240,Q053947
1,Q140677,Q624624
1,Q632400,Q244998
1,Q646790,Q286415
1,Q384499,Q201027
1,Q177487,Q211990
1,Q170153,Q198030
1,Q150241,Q325623
1,Q669736,Q268136
1,Q466742,Q447177
1,Q473095,Q425933
1,Q162992,Q435529
1,Q028489,Q565503
1,Q674829,Q067766
1,Q267166,Q544109
1,Q333470,Q724239
1,Q320491,Q026923
1,Q251324,Q379347
1,Q099135,Q286983
1,Q654244,Q247547
1,Q432305,Q344914
1,Q224814,Q404618
1,Q579253,Q048929
1,Q208004,Q196919
1,Q280416,Q305730
1,Q549235,Q699755
1,Q361575,Q392826
1,Q217496,Q423508
1,Q546126,Q321771
1,Q495715,Q006177
1,Q206459,Q138002
1,Q702230,Q684533
1,Q443262,Q641225
1,Q527513,Q048101
1,Q053887,Q321890
1,Q049540,Q100671
1,Q310027,Q619589
1,Q674295,Q709363
1,Q336677,Q715144
1,Q398549,Q187052
1,Q246937,Q532177
1,Q235469,Q370299
1,Q459225,Q124371
1,Q000350,Q273258
1,Q413704,Q540823
1,Q380190,Q285592
1,Q692250,Q172499
1,Q076638,Q098441
1,Q678486,Q644311
1,Q015372,Q452782
1,Q339406,Q092597
1,Q200024,Q188103
1,Q020972,Q706206
1,Q567071,Q611093
1,Q189985,Q325462
1,Q035572,Q375139
1,Q046273,Q597508
1,Q465914,Q292875
1,Q017767,Q634773
1,Q518468,Q157522
1,Q459039,Q236613
1,Q715982,Q224814
1,Q696109,Q169196
1,Q422420,Q648929
1,Q345143,Q350104
1,Q526780,Q290461
1,Q247563,Q439039
1,Q129852,Q693086
1,Q632205,Q248784
1,Q152832,Q307032
1,Q690045,Q604968
1,Q074119,Q146800
1,Q633407,Q176561
1,Q202061,Q647994
1,Q156042,Q409765
1,Q699173,Q091009
1,Q454206,Q054119
1,Q619589,Q027663
1,Q209532,Q083769
1,Q080992,Q330674
1,Q529300,Q518091
1,Q088783,Q272471
1,Q519390,Q592006
1,Q469496,Q202833
1,Q371919,Q701163
1,Q014928,Q463829
1,Q263179,Q703874
1,Q424218,Q357180
1,Q551990,Q403840
1,Q500291,Q146275
1,Q606474,Q251662
1,Q487715,Q624597
1,Q564863,Q419935
1,Q482264,Q451972
1,Q636399,Q052728
1,Q100259,Q277074
1,Q586312,Q470826
1,Q512063,Q143164
1,Q382866,Q037727
1,Q654060,Q390548
1,Q200487,Q456119
1,Q350241,Q127457
1,Q347656,Q012075
1,Q611293,Q117842
1,Q026238,Q169568
1,Q426641,Q194805
1,Q267166,Q286433
1,Q467856,Q246342
1,Q685058,Q309371
1,Q218665,Q349388
1,Q562867,Q199161
1,Q220676,Q125890
1,Q270939,Q706862
1,Q385448,Q295090
1,Q702230,Q418707
1,Q310112,Q686167
1,Q612747,Q352128
1,Q157802,Q544178
1,Q183055,Q390462
1,Q258856,Q236427
1,Q054729,Q017371
1,Q308891,Q088783
1,Q269630,Q209532
1,Q196012,Q083509
1,Q059039,Q573688
1,Q052739,Q255620
1,Q516624,Q326885
1,Q667515,Q096447
1,Q474629,Q397713
1,Q383108,Q404884
1,Q212145,Q130163
1,Q003065,Q322351
1,Q436579,Q038984
1,Q590544,Q430945
1,Q369676,Q675912
1,Q100259,Q093155
1,Q488577,Q661537
1,Q618119,Q106546
1,Q323229,Q173407
1,Q097830,Q526780
1,Q570521,Q552813
1,Q434560,Q360415
1,Q383718,Q493066
1,Q265096,Q414427
1,Q571334,Q683353
1,Q407205,Q071438
1,Q469496,Q298660
1,Q366859,Q206051
1,Q340939,Q424169
1,Q115698,Q400745
1,Q139688,Q062586
1,Q672670,Q581884
1,Q275721,Q240026
1,Q392424,Q099215
1,Q152307,Q159317
1,Q295853,Q326315
1,Q224597,Q501044
1,Q276886,Q245665
1,Q587074,Q116129
1,Q541429,Q172946
1,Q025408,Q122027
1,Q582511,Q050155
1,Q004270,Q481701
1,Q716246,Q463148
1,Q154583,Q204036
1,Q016691,Q394278
1,Q381577,Q043962
1,Q546859,Q387045
1,Q568541,Q200951
1,Q618522,Q009379
1,Q554525,Q087792
1,Q593308,Q172418
1,Q508423,Q398810
1,Q001895,Q390744
1,Q145859,Q204075
1,Q610378,Q436359
1,Q009379,Q252016
1,Q240014,Q601650
1,Q671610,Q022777
1,Q036151,Q229583
1,Q644235,Q300627
1,Q369676,Q151047
1,Q310146,Q546859
1,Q284875,Q368051
1,Q313790,Q399039
1,Q001627,Q329238
1,Q648488,Q533646
1,Q449927,Q715327
1,Q400737,Q696165
1,Q482314,Q140600
1,Q240528,Q505409
